Row,Timestamp,Ref,Vel
96  , 2.541, 1300   , 1309   
97  , 2.561, 1300   , 1309   
98  , 2.581, 1300   , 1308   
99  , 2.601, 1300   , 1308   
100 , 2.621, 1300   , 1309   
101 , 2.641, -500   , 1308   
102 , 2.661, -500   , 1134   
103 , 2.681, -500   , 610    
104 , 2.701, -500   , 261    
105 , 2.721, -500   , -174   
106 , 2.743, -500   , -610   
107 , 2.763, -500   , -785   
108 , 2.783, -500   , -785   
109 , 2.803, -500   , -872   
110 , 2.823, -500   , -698   
111 , 2.843, -500   , -610   
112 , 2.863, -500   , -436   
113 , 2.883, -500   , -523   
114 , 2.903, -500   , -349   
115 , 2.923, -500   , -436   
116 , 2.945, -500   , -436   
117 , 2.965, -500   , -523   
118 , 2.985, -500   , -436   
119 , 3.005, -500   , -523   
120 , 3.026, -500   , -436   
121 , 3.046, -500   , -523   
122 , 3.066, -500   , -610   
123 , 3.086, -500   , -523   
124 , 3.106, -500   , -523   
125 , 3.126, -500   , -436   
126 , 3.146, -500   , -523   
127 , 3.166, -500   , -436   
128 , 3.186, -500   , -523   
129 , 3.206, -500   , -523   
130 , 3.226, -500   , -436   
131 , 3.246, -500   , -523   
132 , 3.266, -500   , -523   
133 , 3.286, -500   , -523   
134 , 3.306, -500   , -523   
135 , 3.326, -500   , -436   
136 , 3.346, -500   , -523   
137 , 3.366, -500   , -436   
138 , 3.386, -500   , -523   
139 , 3.406, -500   , -523   
140 , 3.426, -500   , -523   
141 , 3.446, -500   , -523   
142 , 3.466, -500   , -436   
143 , 3.486, -500   , -523   
144 , 3.506, -500   , -523   
145 , 3.526, -500   , -436   
146 , 3.546, -500   , -523   
147 , 3.566, -500   , -523   
148 , 3.586, -500   , -523   
149 , 3.606, -500   , -523   
150 , 3.626, -500   , -436   
151 , 3.646, -500   , -523   
152 , 3.666, -500   , -436   
153 , 3.686, -500   , -523   
154 , 3.706, -500   , -523   
155 , 3.726, -500   , -523   
156 , 3.746, -500   , -523   
157 , 3.766, -500   , -436   
158 , 3.786, -500   , -523   
159 , 3.806, -500   , -436   
160 , 3.826, -500   , -523   
161 , 3.846, -500   , -523   
162 , 3.866, -500   , -523   
163 , 3.886, -500   , -523   
164 , 3.906, -500   , -523   
165 , 3.926, -500   , -436   
166 , 3.946, -500   , -523   
167 , 3.966, -500   , -436   
168 , 3.986, -500   , -523   
169 , 4.006, -500   , -523   
170 , 4.026, -500   , -523   
171 , 4.046, -500   , -436   
172 , 4.066, -500   , -523   
173 , 4.086, -500   , -523   
174 , 4.106, -500   , -523   
175 , 4.126, -500   , -436   
176 , 4.146, -500   , -523   
177 , 4.166, -500   , -523   
178 , 4.186, -500   , -523   
179 , 4.206, -500   , -523   
180 , 4.226, -500   , -436   
181 , 4.246, -500   , -436   
182 , 4.266, -500   , -523   
183 , 4.286, -500   , -523   
184 , 4.306, -500   , -523   
185 , 4.326, -500   , -523   
186 , 4.346, -500   , -523   
187 , 4.368, -500   , -523 
